年月,和暦,利用件数,1日当たり利用件数,月別利用人数,運行区分
2023-03,R5.3,304,13.8,76,無償
2023-04,R5.4,417,20.8,93,無償
2023-05,R5.5,433,21.6,95,無償
2023-06,R5.6,457,20.7,105,無償
2023-07,R5.7,476,23.8,102,無償
2023-08,R5.8,454,20.6,97,無償
2023-09,R5.9,563,28.2,98,有償
2023-10,R5.10,467,22.2,100,有償
2023-11,R5.11,442,21.6,102,有償
2023-12,R5.12,445,21.6,93,有償
2024-01,R6.1,372,19.6,83,有償
2024-02,R6.2,374,19.7,87,有償
2024-03,R6.3,424,21.2,109,有償
2024-04,R6.4,445,21.2,93,有償
2024-05,R6.5,450,21.4,106,有償
2024-06,R6.6,459,23.0,105,有償
2024-07,R6.7,466,21.2,102,有償
2024-08,R6.8,373,17.8,98,有償
2024-09,R6.9,509,26.9,104,有償
2024-10,R6.10,570,25.9,114,有償
2024-11,R6.11,565,28.3,117,有償
2024-12,R6.12,513,25.7,120,有償
2025-01,R7.1,486,25.6,112,有償
2025-02,R7.2,496,27.6,128,有償
2025-03,R7.3,624,31.2,129,有償
2025-04,R7.4,855,40.7,177,有償
2025-05,R7.5,800,40.0,160,有償
2025-06,R7.6,860,41.0,186,有償
2025-07,R7.7,911,41.4,179,有償
2025-08,R7.8,827,41.4,195,有償
2025-09,R7.9,950,47.5,196,有償
2025-10,R7.10,1000,45.5,198,有償
2025-11,R7.11,835,46.4,167,有償
2025-12,R7.12,908,45.4,185,有償
2026-01,R8.1,866,45.6,193,有償
2026-02,R8.2,936,52.0,198,有償
2026-03,R8.3,1173,55.9,212,有償
